choosen_case_number,choosen_case_value,last_case_number,last_case_value
4,1000000,9,400000
3,1000000,2,400000
19,1000000,20,300000
2,1000000,18,300
16,1000000,20,1
12,50,5,1000000
2,1000000,1,500000
5,10,19,1000000
6,500,5,1000000
19,1000000,14,10
24,500,6,1000000
2,1000,3,1000000
5,5000,4,1000000
12,1000000,23,50000
8,400000,24,1000000
5,1000000,8,10
20,200,15,1000000
2,1000000,6,5
25,1000000,18,300
21,1000000,4,10
9,1000000,18,50000
21,0.01,25,1000000
19,500,4,1000000
13,200000,3,1000000
2,25000,15,1000000
4,1000000,22,50
25,0.5,3,1000000
24,1,16,1000000
13,400000,11,1000000
16,200000,14,1000000
1,1000000,24,0.01
21,5000,6,1000000
19,1000000,4,1000
20,1000000,6,1000
20,1000000,16,300
21,1,17,1000000
0,10000,2,1000000
12,100,13,1000000
10,750,2,1000000
16,1000000,6,500
15,1000000,21,100000
21,1000000,24,5
22,750000,20,1000000
23,200,18,1000000
18,50000,25,1000000
15,1000000,10,5000
3,750,13,1000000
18,100000,21,1000000
11,200000,8,1000000
20,75000,14,1000000
12,1000000,14,300000
16,50000,11,1000000
3,1000000,11,5
21,1000000,23,500000
8,1000000,5,0.1
4,300000,0,1000000
15,1000000,3,50
7,500,8,1000000
23,5,6,1000000
18,1000,20,1000000
12,1000000,10,50000
3,1000000,16,1
16,1000000,21,25000
5,1000000,21,10000
12,10,19,1000000
7,0.1,15,1000000
14,0.01,4,1000000
9,25000,3,1000000
24,1000000,22,1000
8,1000000,13,0.1
9,200000,13,1000000
15,1000000,0,1000
19,1000000,3,750000
14,1000000,1,750000
21,75000,22,1000000
16,0.5,22,1000000
6,1000000,17,400000
17,100000,13,1000000
7,1000000,1,400000
6,1000000,15,10
19,1,1,1000000
15,1000000,6,0.5
20,1000000,24,1000
8,1000000,24,0.5
25,1000000,8,75
12,0.5,3,1000000
24,1000000,16,400000
7,200000,18,1000000
0,10,9,1000000
1,750000,4,1000000
12,10,9,1000000
12,1000000,13,1
7,500000,6,1000000
18,1000000,15,100
16,750000,1,1000000
15,500000,5,1000000
5,1000000,1,5
18,50,11,1000000
8,1000000,11,75
0,400000,18,1000000
2,1000000,22,750
12,5,7,1000000
2,1000000,6,0.5
19,1000000,15,10000
16,1000000,17,5000
7,200000,18,1000000
25,75,18,1000000
11,1000000,25,25000
20,1000000,22,400000
7,75000,20,1000000
19,1000000,25,1000
24,750000,19,1000000
25,1000000,5,25000
5,1000,17,1000000
8,50,2,1000000
20,1000000,25,25000
2,1000,22,1000000
13,10,21,1000000
22,400000,19,1000000
4,1000000,11,100000
25,1000000,1,1000
1,500,17,1000000
2,75000,21,1000000
13,1000000,7,1000
4,500,11,1000000
6,750,11,1000000
14,1000000,1,750
9,200,7,1000000
8,200000,12,1000000
6,1000000,9,1000
2,300000,3,1000000
18,1000000,1,400000
8,1000000,15,200
9,75,12,1000000
8,0.01,19,1000000
4,1000000,11,500
19,1000000,18,5000
14,75,21,1000000
3,75000,20,1000000
15,0.01,8,1000000
1,300,18,1000000
1,1000000,23,1000
21,750,2,1000000
5,1000000,11,0.01
11,1000000,18,75000
12,75,23,1000000
21,75,3,1000000
10,50000,13,1000000
1,1000000,16,400000
23,1000000,25,75000
20,1000000,8,1000
14,100000,5,1000000
13,200,11,1000000
11,400000,19,1000000
0,1000000,4,500000
7,1000000,10,1000
12,1000000,19,10
21,200,9,1000000
24,100,21,1000000
2,500000,0,1000000
15,50,9,1000000
6,1000000,5,1000
15,50,5,1000000
1,75000,7,1000000
3,500,14,1000000
12,200,14,1000000
16,1000000,22,100000
16,25000,3,1000000
6,1,5,1000000
18,5000,16,1000000
10,1000000,21,25000
2,50,22,1000000
10,200,9,1000000
24,1000000,17,50000
2,1000000,18,750
4,100,19,1000000
18,1000000,5,400000
7,0.1,10,1000000
3,1000000,2,5
25,1000000,17,50
14,1000000,7,100000
11,1000000,1,50000
24,1000,4,1000000
11,50000,0,1000000
5,1000000,6,500
10,400000,23,1000000
7,1000000,22,100
7,1000000,13,400000
15,100,21,1000000
12,1000000,1,500
22,500000,1,1000000
1,1000000,20,500
24,750000,10,1000000
22,1000000,17,0.5
3,1000000,18,5
3,1000000,15,400000
18,1000000,4,100000
11,1000000,14,10
17,1000000,6,0.1
13,5,17,1000000
8,10000,2,1000000
5,1000000,24,500000
15,50000,8,1000000
1,1000000,23,10
24,1000000,10,300000
19,1000000,18,200000
9,300000,17,1000000
9,50,1,1000000
9,500000,16,1000000
3,500,2,1000000
23,10000,11,1000000
18,1000000,15,50
3,75,13,1000000
11,300000,16,1000000
20,1000000,8,200
0,1000000,4,1000
18,1000000,7,0.1
5,1000,24,1000000
7,200,22,1000000
15,50,16,1000000
19,200000,1,1000000
21,1000000,22,50
19,1000000,16,10
1,400000,6,1000000
0,1000000,11,300000
12,1000000,4,400000
18,50000,10,1000000
7,1000000,11,25000
1,0.01,12,1000000
18,0.5,3,1000000
17,0.5,12,1000000
5,50,22,1000000
15,1000,12,1000000
12,1000000,24,75000
23,1000000,3,5000
12,1000000,24,100000
16,1000000,3,200
4,0.01,2,1000000
8,1000000,7,50000
21,75,6,1000000
20,1000000,17,1000
22,1000000,1,400000
14,0.01,25,1000000
9,0.1,19,1000000
5,1000000,10,400000
25,200,7,1000000
25,300,13,1000000
16,1000000,2,50
10,10,22,1000000
24,300000,5,1000000
13,10000,19,1000000
4,1000000,17,300000
1,500000,2,1000000
12,1000000,9,100000
3,0.01,15,1000000
10,0.1,19,1000000
8,75000,12,1000000
19,1000000,13,200
6,300,11,1000000
14,1000000,15,0.1
25,1000000,16,0.1
14,1000000,7,0.1
14,1000000,23,750000
2,200,10,1000000
2,100,10,1000000
4,1000000,8,750000
24,0.5,22,1000000
12,75000,6,1000000
7,1000000,5,400000
1,1000000,16,10
2,300,4,1000000
1,5000,10,1000000
6,500,14,1000000
4,300,24,1000000
20,1000000,14,0.01
23,1000000,7,500
11,1000000,22,10000
22,1000000,10,0.01
21,1000000,23,75
20,1000000,1,200
17,10000,23,1000000
24,1000000,17,10
10,1000000,6,75
3,1000000,7,400000
12,1000000,4,10
5,1000000,4,400000
23,1000000,2,0.01
7,400000,11,1000000
13,1000000,23,750
21,1000000,18,500000
8,400000,19,1000000
16,1000000,3,10000
11,1000000,14,1000
22,1000000,9,75000
8,50,16,1000000
2,300000,15,1000000
6,50,4,1000000
13,1000000,5,75
12,750,1,1000000
22,1000000,15,300000
4,75,12,1000000
7,75000,24,1000000
8,1000000,3,25000
8,1000000,7,500000
22,75,24,1000000
16,1000000,17,750000
20,5000,15,1000000
21,1000000,22,0.5
10,0.5,12,1000000
4,5000,8,1000000
23,1000000,8,100
3,750,8,1000000
6,50,23,1000000
20,1000000,6,0.5
10,750,24,1000000
10,1000000,7,50000
3,10000,18,1000000
2,1000000,16,1
1,1000000,16,10
2,0.1,17,1000000
9,1000000,17,1
9,10,16,1000000
3,5000,0,1000000
3,1000000,13,500
15,200000,6,1000000
7,1000000,14,0.01
11,1000000,5,400000
1,500,21,1000000
11,200000,0,1000000
18,300000,19,1000000
14,1000000,16,200
21,1000000,25,500000
